structure,label,number_of_atoms,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,dos_states_per_eV_per_atom
pristine,Pristine,80,4.24527174,7.639,3.3937282600000005,0.0201375
pristine,Pristine,80,4.24527174,7.7524,3.50712826,0.04103375
pristine,Pristine,80,4.24527174,7.8657,3.6204282600000006,0.05785
pristine,Pristine,80,4.24527174,7.9791,3.73382826,0.0396925
pristine,Pristine,80,4.24527174,8.0924,3.84712826,0.0158075
pristine,Pristine,80,4.24527174,8.2058,3.9605282600000002,0.027831250000000002
pristine,Pristine,80,4.24527174,8.3192,4.073928260000001,0.04897
pristine,Pristine,80,4.24527174,8.4325,4.1872282599999995,0.061182499999999994
pristine,Pristine,80,4.24527174,8.5459,4.30062826,0.0851025
pristine,Pristine,80,4.24527174,8.6592,4.4139282600000005,0.0763875
pristine,Pristine,80,4.24527174,8.7726,4.527328260000001,0.07441875
pristine,Pristine,80,4.24527174,8.886,4.6407282599999995,0.082795
pristine,Pristine,80,4.24527174,8.9993,4.75402826,0.07414875
pristine,Pristine,80,4.24527174,9.1127,4.8674282600000005,0.10113749999999999
pristine,Pristine,80,4.24527174,9.226,4.980728260000001,0.11189750000000001
pristine,Pristine,80,4.24527174,9.3394,5.09412826,0.14106125
pristine,Pristine,80,4.24527174,9.4528,5.20752826,0.20897625
pristine,Pristine,80,4.24527174,9.5661,5.320828260000001,0.26742374999999996
pristine,Pristine,80,4.24527174,9.6795,5.434228260000001,0.2611675
pristine,Pristine,80,4.24527174,9.7928,5.54752826,0.28505375
pristine,Pristine,80,4.24527174,9.9062,5.66092826,0.2879825
pristine,Pristine,80,4.24527174,10.0196,5.774328260000001,0.30528125
pristine,Pristine,80,4.24527174,10.1329,5.88762826,0.28648625
pristine,Pristine,80,4.24527174,10.2463,6.00102826,0.334085
pristine,Pristine,80,4.24527174,10.3596,6.114328260000001,0.36367
pristine,Pristine,80,4.24527174,10.473,6.227728260000001,0.371065
pristine,Pristine,80,4.24527174,10.5864,6.34112826,0.36305375
pristine,Pristine,80,4.24527174,10.6997,6.45442826,0.3112975
pristine,Pristine,80,4.24527174,10.8131,6.567828260000001,0.2578825
pristine,Pristine,80,4.24527174,10.9264,6.6811282599999995,0.231225
pristine,Pristine,80,4.24527174,11.0398,6.79452826,0.24307375000000003
pristine,Pristine,80,4.24527174,11.1532,6.90792826,0.25875125
pristine,Pristine,80,4.24527174,11.2665,7.021228260000001,0.3125425
pristine,Pristine,80,4.24527174,11.3799,7.1346282599999995,0.34423499999999996
pristine,Pristine,80,4.24527174,11.4932,7.24792826,0.32791875
pristine,Pristine,80,4.24527174,11.6066,7.3613282600000005,0.2802075
pristine,Pristine,80,4.24527174,11.72,7.474728260000001,0.27216999999999997
pristine,Pristine,80,4.24527174,11.8333,7.58802826,0.26274625
pristine,Pristine,80,4.24527174,11.9467,7.70142826,0.16685125
pristine,Pristine,80,4.24527174,12.06,7.814728260000001,0.18686750000000002
pristine,Pristine,80,4.24527174,12.1734,7.928128260000001,0.2649
pristine,Pristine,80,4.24527174,12.2868,8.04152826,0.2632975
pristine,Pristine,80,4.24527174,12.4001,8.15482826,0.30242749999999996
pristine,Pristine,80,4.24527174,12.5135,8.26822826,0.380835
pristine,Pristine,80,4.24527174,12.6268,8.38152826,0.3913175
pristine,Pristine,80,4.24527174,12.7402,8.49492826,0.3160575
pristine,Pristine,80,4.24527174,12.8536,8.60832826,0.2871025
pristine,Pristine,80,4.24527174,12.9669,8.721628260000001,0.2929
pristine,Pristine,80,4.24527174,13.0803,8.83502826,0.28420875
pristine,Pristine,80,4.24527174,13.1936,8.94832826,0.267305
pristine,Pristine,80,4.24527174,13.307,9.06172826,0.26749
pristine,Pristine,80,4.24527174,13.4204,9.175128260000001,0.356095
pristine,Pristine,80,4.24527174,13.5337,9.28842826,0.40456000000000003
pristine,Pristine,80,4.24527174,13.6471,9.40182826,0.3517175
pristine,Pristine,80,4.24527174,13.7605,9.51522826,0.33465124999999996
pristine,Pristine,80,4.24527174,13.8738,9.62852826,0.36866
pristine,Pristine,80,4.24527174,13.9872,9.74192826,0.3851125
pristine,Pristine,80,4.24527174,14.1005,9.85522826,0.3247525
pristine,Pristine,80,4.24527174,14.2139,9.968628260000001,0.23105875
pristine,Pristine,80,4.24527174,14.3273,10.08202826,0.17843875
pristine,Pristine,80,4.24527174,14.4406,10.19532826,0.22314375000000003
pristine,Pristine,80,4.24527174,14.554,10.30872826,0.26511
pristine,Pristine,80,4.24527174,14.6673,10.42202826,0.30211
pristine,Pristine,80,4.24527174,14.7807,10.53542826,0.35564125
pristine,Pristine,80,4.24527174,14.8941,10.64882826,0.37707125
pristine,Pristine,80,4.24527174,15.0074,10.76212826,0.2937825
pristine,Pristine,80,4.24527174,15.1208,10.87552826,0.30768625
pristine,Pristine,80,4.24527174,15.2341,10.98882826,0.3526875
pristine,Pristine,80,4.24527174,15.3475,11.10222826,0.308555
pristine,Pristine,80,4.24527174,15.4609,11.21562826,0.24748
pristine,Pristine,80,4.24527174,15.5742,11.32892826,0.16403
pristine,Pristine,80,4.24527174,15.6876,11.44232826,0.0940875
pristine,Pristine,80,4.24527174,15.8009,11.55562826,0.058304999999999996
pristine,Pristine,80,4.24527174,15.9143,11.669028260000001,0.021332499999999997
pristine,Pristine,80,4.24527174,16.0277,11.78242826,0.0023575
pristine,Pristine,80,4.24527174,16.141,11.895728259999998,4.4999999999999996e-05
pristine,Pristine,80,4.24527174,16.2544,12.00912826,0.0
pristine,Pristine,80,4.24527174,16.3677,12.12242826,0.0
pristine,Pristine,80,4.24527174,16.4811,12.235828260000002,0.0
pristine,Pristine,80,4.24527174,16.5945,12.34922826,0.0
pristine,Pristine,80,4.24527174,16.7078,12.46252826,0.0
pristine,Pristine,80,4.24527174,16.8212,12.575928260000001,0.0
pristine,Pristine,80,4.24527174,16.9345,12.68922826,0.0
pristine,Pristine,80,4.24527174,17.0479,12.802628259999999,0.0
pristine,Pristine,80,4.24527174,17.1613,12.916028260000001,0.0
pristine,Pristine,80,4.24527174,17.2746,13.02932826,0.0
pristine,Pristine,80,4.24527174,17.388,13.142728260000002,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.6907,-21.76842885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.5767,-21.65442885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.4627,-21.54042885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.3488,-21.42652885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.2348,-21.31252885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.1209,-21.19862885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-16.0069,-21.08462885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.893,-20.97072885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.779,-20.85672885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.6651,-20.742828850000002,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.5511,-20.628828849999998,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.4372,-20.51492885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-15.3232,-20.40092885,3.6708860759493665e-05
vacancy_O1,O1 vacancy,79,5.07772885,-15.2093,-20.28702885,0.0027240506329113926
vacancy_O1,O1 vacancy,79,5.07772885,-15.0953,-20.17302885,0.031858227848101266
vacancy_O1,O1 vacancy,79,5.07772885,-14.9814,-20.05912885,0.09018734177215189
vacancy_O1,O1 vacancy,79,5.07772885,-14.8674,-19.94512885,0.14853291139240507
vacancy_O1,O1 vacancy,79,5.07772885,-14.7535,-19.831228850000002,0.1913848101265823
vacancy_O1,O1 vacancy,79,5.07772885,-14.6395,-19.717228849999998,0.22247088607594936
vacancy_O1,O1 vacancy,79,5.07772885,-14.5256,-19.60332885,0.20232658227848102
vacancy_O1,O1 vacancy,79,5.07772885,-14.4116,-19.48932885,0.24725822784810128
vacancy_O1,O1 vacancy,79,5.07772885,-14.2977,-19.37542885,0.33341898734177217
vacancy_O1,O1 vacancy,79,5.07772885,-14.1837,-19.26142885,0.4127721518987342
vacancy_O1,O1 vacancy,79,5.07772885,-14.0698,-19.14752885,0.5740392405063292
vacancy_O1,O1 vacancy,79,5.07772885,-13.9558,-19.03352885,0.8089025316455697
vacancy_O1,O1 vacancy,79,5.07772885,-13.8419,-18.919628850000002,0.9335139240506329
vacancy_O1,O1 vacancy,79,5.07772885,-13.7279,-18.805628849999998,0.978446835443038
vacancy_O1,O1 vacancy,79,5.07772885,-13.6139,-18.69162885,1.0329189873417721
vacancy_O1,O1 vacancy,79,5.07772885,-13.5,-18.57772885,1.112993670886076
vacancy_O1,O1 vacancy,79,5.07772885,-13.386,-18.46372885,1.2880113924050633
vacancy_O1,O1 vacancy,79,5.07772885,-13.2721,-18.34982885,0.8790594936708861
vacancy_O1,O1 vacancy,79,5.07772885,-13.1581,-18.235828849999997,0.5149455696202532
vacancy_O1,O1 vacancy,79,5.07772885,-13.0442,-18.12192885,0.34826582278481016
vacancy_O1,O1 vacancy,79,5.07772885,-12.9302,-18.00792885,0.08435189873417721
vacancy_O1,O1 vacancy,79,5.07772885,-12.8163,-17.894028849999998,0.003453164556962025
vacancy_O1,O1 vacancy,79,5.07772885,-12.7023,-17.78002885,1.5189873417721518e-05
vacancy_O1,O1 vacancy,79,5.07772885,-12.5884,-17.66612885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-12.4744,-17.55212885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-12.3605,-17.43822885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-12.2465,-17.324228849999997,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-12.1326,-17.21032885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-12.0186,-17.09632885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.9047,-16.982428849999998,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.7907,-16.86842885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.6768,-16.75452885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.5628,-16.64052885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.4489,-16.52662885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.3349,-16.412628849999997,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.221,-16.29872885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-11.107,-16.18472885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.9931,-16.070828849999998,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.8791,-15.956828849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.7652,-15.84292885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.6512,-15.728928849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.5372,-15.61492885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.4233,-15.501028849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.3093,-15.38702885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.1954,-15.273128849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-10.0814,-15.15912885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-9.9675,-15.045228849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-9.8535,-14.93122885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-9.7396,-14.817328849999999,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-9.6256,-14.70332885,0.0
vacancy_O1,O1 vacancy,79,5.07772885,-9.5117,-14.58942885,0.0002949367088607595
vacancy_O1,O1 vacancy,79,5.07772885,-9.3977,-14.47542885,0.02594177215189873
vacancy_O1,O1 vacancy,79,5.07772885,-9.2838,-14.36152885,0.37081898734177215
vacancy_O1,O1 vacancy,79,5.07772885,-9.1698,-14.24752885,1.4534113924050633
vacancy_O1,O1 vacancy,79,5.07772885,-9.0559,-14.13362885,3.2427341772151896
vacancy_O1,O1 vacancy,79,5.07772885,-8.9419,-14.01962885,5.287497468354431
vacancy_O1,O1 vacancy,79,5.07772885,-8.828,-13.90572885,6.219660759493671
