structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.3008,-20.836013910000002,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.2838,-20.81901391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.2667,-20.80191391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.2497,-20.78491391,0.0,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.2327,-20.76791391,0.0001,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.2156,-20.75081391,0.0001,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1986,-20.733813910000002,0.0001,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1816,-20.71681391,0.0002,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1645,-20.69971391,0.0003,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1475,-20.68271391,0.0005,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1304,-20.66561391,0.0007,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.1134,-20.64861391,0.0009,0.0,0.0
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0964,-20.63161391,0.0011,0.0001,0.0001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0793,-20.61451391,0.0013,0.0001,0.0001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0623,-20.59751391,0.0015,0.0002,0.0001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0453,-20.58051391,0.0017,0.00030000000000000003,0.0001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0282,-20.56341391,0.0019,0.00030000000000000003,0.0001
vacancy_O2,O2 vacancy,tetrahedral,1,17,5.53521391,-15.0112,-20.546413910000002,0.002,0.00030000000000000003,0.0002
