structure,vacancy_label,coordination_type,number_of_ga_atoms,ga_atom_numbers,fermi_energy_eV,energy_absolute_eV,energy_minus_fermi_eV,ga_s_pdos,ga_p_pdos,ga_d_pdos
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.4942,-20.5284847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.4771,-20.5113847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.46,-20.4942847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.4429,-20.4771847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.4258,-20.4600847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.4087,-20.4429847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3916,-20.4258847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3745,-20.4087847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3574,-20.3916847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3403,-20.3745847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3232,-20.3574847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.3061,-20.3403847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.289,-20.3232847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.2719,-20.3061847,0.0,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.2549,-20.2891847,0.0001,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.2378,-20.2720847,0.0001,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.2207,-20.2549847,0.0002,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.2036,-20.2378847,0.0003,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.1865,-20.2207847,0.0004,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.1694,-20.2036847,0.0006,0.0,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.1523,-20.1865847,0.0008,0.0001,0.0
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.1352,-20.169484699999998,0.0011,0.0001,0.00030000000000000003
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.1181,-20.1523847,0.0014,0.00030000000000000003,0.00030000000000000003
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.101,-20.1352847,0.0016,0.00030000000000000003,0.00030000000000000003
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.0839,-20.1181847,0.0018,0.0004,0.00035000000000000005
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.0668,-20.1010847,0.002,0.0004,0.0004
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.0497,-20.0839847,0.0022,0.0004,0.00065
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.0327,-20.0669847,0.0024,0.0005,0.00075
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-15.0156,-20.0498847,0.0025,0.00055,0.0008500000000000001
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.9985,-20.0327847,0.0027,0.00065,0.00095
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.9814,-20.0156847,0.0029,0.00075,0.0011
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.9643,-19.9985847,0.0031,0.0009,0.00125
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.9472,-19.9814847,0.0035,0.001,0.0015
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.9301,-19.9643847,0.0039,0.00115,0.00175
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.913,-19.9472847,0.0043,0.0013,0.002
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8959,-19.930184699999998,0.0047,0.00145,0.0024000000000000002
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8788,-19.9130847,0.0052,0.00165,0.0027
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8617,-19.8959847,0.0056,0.0019,0.0031
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8446,-19.8788847,0.006,0.00215,0.00365
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8275,-19.8617847,0.0064,0.00245,0.00425
vacancy_O1,O1 vacancy,tetrahedral,2,29;25,5.0342847,-14.8104,-19.8446847,0.0069,0.0027999999999999995,0.00485
