structure,defect_atom_number,reference_atom_number,element,initial_distance_to_vacancy_A,relaxed_distance_to_vacancy_A,distance_change_A,total_displacement_A,radial_projection_A,motion_relative_to_vacancy,dx_A,dy_A,dz_A
vacancy_O1,79,80,O,5.12882649630583,5.133803710438643,0.004977214132813046,0.04643543637555458,0.004769420294163927,away,0.006307414137320106,-0.0018186673425865344,0.04596910622783002
vacancy_O1,75,76,O,5.128827331134416,5.13358674163265,0.004759410498233585,0.046468313671291825,0.004551112182730105,away,0.01615461454588582,-0.001973446962102488,0.043525143439340774
vacancy_O1,26,26,Ga,5.151951362158152,5.182185862841516,0.030234500683364196,0.030726510310664142,0.030231589805313056,away,0.007465134051261479,-0.007182780938487023,0.02892745871067408
vacancy_O1,55,56,O,5.242586340240247,5.247948143128575,0.005361802888327993,0.011449394001850416,0.005352042467980393,away,-0.0025526846197696886,-0.010724738233726461,-0.0030906979890706547
vacancy_O1,51,52,O,5.242586452507109,5.247807551473634,0.005221098966524451,0.011276379863114134,0.005211571525318826,away,0.0018261625710753898,-0.010504120192823348,-0.0036722380173362995
vacancy_O1,52,53,O,5.61951606163314,5.613962204044313,-0.005553857588827427,0.017362168971896588,-0.005577934357568422,toward,0.0005344450436487675,-0.01734777844819512,0.0004624530423131938
vacancy_O1,69,70,O,5.737879653285681,5.699343636561163,-0.03853601672451834,0.0635599810950462,-0.03875864657789377,toward,-0.014892566775558095,-0.0035313166043838937,-0.06168964625184502
vacancy_O1,54,55,O,5.8040969992076015,5.802677249411306,-0.0014197497962955552,0.0030712224607243894,-0.0014203887172099883,toward,0.0008231996948020339,0.002933515755514518,-0.0003863094328176558
vacancy_O1,34,35,O,5.817410119999999,5.799352087232276,-0.018058032767722665,0.018078862359240284,-0.01805809746290201,toward,0.0017091157531796653,-0.01762733297458302,0.0036333620449614332
vacancy_O1,23,23,Ga,5.915292794518621,5.915053196753066,-0.00023959776555493306,0.000700754714757021,-0.00023963442055309196,toward,-0.0005500059761720279,-0.0003492432098746013,0.00025803057335465837
vacancy_O1,71,72,O,5.9469831838520095,5.893579102297159,-0.053404081554850436,0.06398813219935902,-0.05350854503635184,toward,-0.015525294771892564,0.013150983058392383,-0.0606671074735426
vacancy_O1,30,30,Ga,5.985837684616333,5.976566975198235,-0.00927070941809749,0.012349138520751713,-0.00927626880448467,toward,-0.0023870718350372197,0.006736003677766041,-0.010071214659225978
vacancy_O1,31,31,Ga,6.059290285226988,6.064274946446717,0.00498466121972907,0.017416660001983757,0.004961680541708604,away,-0.005191772876290559,-0.002346827257239863,-0.01645836996334663
vacancy_O1,27,27,Ga,6.059291866474142,6.064677042667939,0.005385176193796859,0.017550657716868458,0.005362151600344055,away,-0.0017667426143042281,-0.002287565861809144,-0.017311015257845543
vacancy_O1,16,16,Ga,6.163191468785944,6.15310937676086,-0.010082092025084144,0.01209078103157951,-0.01008570528345469,toward,-0.0010555718240698546,0.01072870009122003,-0.005474280631323902
vacancy_O1,12,12,Ga,6.163191548369885,6.153260450223657,-0.009931098146227946,0.012161475309458996,-0.009935095650679009,toward,-0.0019021179657467125,0.010888853692267608,-0.005071123565380203
vacancy_O1,3,3,Ga,6.223194702292176,6.222897505231457,-0.0002971970607186236,0.01173156479680317,-0.0003082477583957184,toward,0.0045190238302865076,-0.004694664260208686,0.009755417145710035
vacancy_O1,7,7,Ga,6.223194817831716,6.222931682069349,-0.0002631357623661401,0.011995104035455324,-0.0002746903805814734,toward,0.00018751306779718588,-0.004711629824855798,0.011029410866602585
vacancy_O1,4,4,Ga,6.261103233057955,6.264451406712501,0.003348173654546649,0.0035777534312218286,0.0033480466759042353,away,0.000776735159641073,-0.0021836592210813166,0.002725552148204738
