structure,coordination_type,reference_ga_atom_number,defect_ga_atom_number,system,orbital,energy_minus_fermi_eV,pdos_states_per_eV
vacancy_O3,tetrahedral,27,27,pristine,s,-17.78625477,0.0413
vacancy_O3,tetrahedral,27,27,pristine,s,-17.76925477,0.0365
vacancy_O3,tetrahedral,27,27,pristine,s,-17.75225477,0.0327
vacancy_O3,tetrahedral,27,27,pristine,s,-17.73525477,0.0298
vacancy_O3,tetrahedral,27,27,pristine,s,-17.71825477,0.028
vacancy_O3,tetrahedral,27,27,pristine,s,-17.70125477,0.0275
vacancy_O3,tetrahedral,27,27,pristine,s,-17.684254770000003,0.0282
vacancy_O3,tetrahedral,27,27,pristine,s,-17.66715477,0.0301
vacancy_O3,tetrahedral,27,27,pristine,s,-17.65015477,0.033
vacancy_O3,tetrahedral,27,27,pristine,s,-17.63315477,0.0367
vacancy_O3,tetrahedral,27,27,pristine,s,-17.61615477,0.0407
vacancy_O3,tetrahedral,27,27,pristine,s,-17.59915477,0.0447
vacancy_O3,tetrahedral,27,27,pristine,s,-17.582154770000002,0.048
vacancy_O3,tetrahedral,27,27,pristine,s,-17.56515477,0.0503
vacancy_O3,tetrahedral,27,27,pristine,s,-17.54815477,0.0511
vacancy_O3,tetrahedral,27,27,pristine,s,-17.53115477,0.0501
vacancy_O3,tetrahedral,27,27,pristine,s,-17.51415477,0.0475
vacancy_O3,tetrahedral,27,27,pristine,s,-17.49715477,0.0433
vacancy_O3,tetrahedral,27,27,pristine,s,-17.48015477,0.038
vacancy_O3,tetrahedral,27,27,pristine,s,-17.463154770000003,0.0321
vacancy_O3,tetrahedral,27,27,pristine,s,-17.44615477,0.026
vacancy_O3,tetrahedral,27,27,pristine,s,-17.42915477,0.0202
vacancy_O3,tetrahedral,27,27,pristine,s,-17.41215477,0.0151
vacancy_O3,tetrahedral,27,27,pristine,s,-17.39515477,0.0108
vacancy_O3,tetrahedral,27,27,pristine,s,-17.378154770000002,0.0074
vacancy_O3,tetrahedral,27,27,pristine,s,-17.36115477,0.0049
vacancy_O3,tetrahedral,27,27,pristine,s,-17.344154770000003,0.0031
vacancy_O3,tetrahedral,27,27,pristine,s,-17.32715477,0.0018
vacancy_O3,tetrahedral,27,27,pristine,s,-17.31015477,0.0011
vacancy_O3,tetrahedral,27,27,pristine,s,-17.29315477,0.0006
vacancy_O3,tetrahedral,27,27,pristine,s,-17.276154769999998,0.0003
vacancy_O3,tetrahedral,27,27,pristine,s,-17.259154770000002,0.0002
vacancy_O3,tetrahedral,27,27,pristine,s,-17.242054770000003,0.0001
vacancy_O3,tetrahedral,27,27,pristine,s,-17.22505477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.20805477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.19105477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.174054769999998,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.157054770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.14005477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.123054770000003,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.10605477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.08905477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.07205477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.055054769999998,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.038054770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.02105477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-17.00405477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.98705477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.97005477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.95305477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.93605477,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.919054770000002,0.0
vacancy_O3,tetrahedral,27,27,pristine,s,-16.90205477,0.0
